epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,4.786256,0.189215,4.271957,0.284920,0.483600,0.257442,0.00010000
2,4.225112,0.272035,4.251809,0.296800,0.500000,0.276820,0.00055000
3,4.345876,0.251865,4.423805,0.267520,0.471280,0.246961,0.00100000
4,4.325675,0.257020,4.370150,0.280840,0.480360,0.263064,0.00098549
5,4.279915,0.265025,4.328689,0.285320,0.482160,0.267241,0.00094279
6,4.218445,0.277035,4.261566,0.297040,0.493840,0.278812,0.00087438
7,4.149018,0.289650,4.260938,0.297000,0.498160,0.275113,0.00078425
8,4.061767,0.305895,4.267163,0.304160,0.504120,0.284527,0.00067763
9,3.959396,0.323785,4.229995,0.315320,0.517240,0.297900,0.00056071
10,3.856084,0.343830,4.197803,0.322440,0.521400,0.308339,0.00044029
11,3.753856,0.362705,4.174083,0.325480,0.527040,0.311612,0.00032337
12,3.654361,0.380945,4.154962,0.334880,0.532880,0.321331,0.00021675
13,3.572243,0.397860,4.166818,0.336720,0.536240,0.323267,0.00012662
14,3.510589,0.410850,4.169259,0.337160,0.536920,0.323348,0.00005821
15,3.476603,0.416130,4.164403,0.339120,0.539080,0.326507,0.00001551
