epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,6.182457,0.004242,6.055842,0.008474,0.035221,0.001546,0.00010000
2,5.861876,0.023845,5.411454,0.073574,0.191847,0.050451,0.00028000
3,5.420518,0.076958,5.032705,0.136586,0.293775,0.108594,0.00046000
4,5.198585,0.110176,4.863091,0.165261,0.332610,0.140211,0.00064000
5,5.081907,0.128901,4.854510,0.173655,0.347269,0.145364,0.00082000
6,5.009656,0.143052,4.761759,0.190522,0.369277,0.167931,0.00100000
7,4.900402,0.159639,4.667785,0.208112,0.394498,0.184027,0.00099606
8,4.812603,0.175487,4.614317,0.220161,0.406747,0.196633,0.00098431
9,4.739065,0.187716,4.550797,0.231727,0.422490,0.204871,0.00096492
10,4.672134,0.198835,4.499411,0.241285,0.436265,0.218315,0.00093822
11,4.607791,0.209388,4.458048,0.251566,0.445341,0.228750,0.00090460
12,4.550601,0.218755,4.450631,0.254137,0.451365,0.226361,0.00086462
13,4.491135,0.229192,4.407589,0.262691,0.460843,0.237102,0.00081889
14,4.432108,0.238484,4.364924,0.269558,0.467831,0.249640,0.00076815
15,4.373147,0.249257,4.307467,0.278032,0.475020,0.260300,0.00071318
16,4.309570,0.261140,4.309823,0.290884,0.486345,0.268884,0.00065485
17,4.251026,0.270392,4.261744,0.293775,0.494940,0.276129,0.00059410
18,4.191427,0.282686,4.246445,0.301004,0.499518,0.278748,0.00053186
19,4.128516,0.293981,4.216774,0.305542,0.506747,0.287225,0.00046914
20,4.072035,0.302545,4.197726,0.309759,0.512530,0.291790,0.00040690
21,4.006920,0.313931,4.195627,0.315663,0.517229,0.297008,0.00034615
22,3.945960,0.325085,4.182195,0.319839,0.519398,0.302264,0.00028782
23,3.891902,0.335331,4.158639,0.321205,0.522851,0.304743,0.00023285
24,3.836928,0.346551,4.175541,0.326185,0.525703,0.310193,0.00018211
25,3.785219,0.355156,4.161195,0.326466,0.526627,0.310359,0.00013638
26,3.744198,0.363740,4.151591,0.331285,0.530281,0.314757,0.00009640
27,3.713693,0.369463,4.153522,0.332369,0.531928,0.317335,0.00006278
28,3.687157,0.374086,4.150364,0.332410,0.532008,0.317535,0.00003608
29,3.667884,0.378775,4.154403,0.333695,0.533253,0.318729,0.00001669
30,3.657681,0.380472,4.150278,0.332570,0.533454,0.317574,0.00000494
