epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,2.786853,0.067012,2.882724,0.064000,0.326667,0.032745,0.00010000
2,2.805133,0.075535,2.799872,0.084000,0.318667,0.057054,0.00040000
3,2.776387,0.075368,2.743129,0.076000,0.368000,0.049767,0.00070000
4,2.741040,0.079880,2.704770,0.078667,0.370667,0.061830,0.00100000
5,2.702660,0.092413,2.689388,0.102667,0.392000,0.083427,0.00099958
6,2.657783,0.112634,2.674428,0.114667,0.417333,0.078476,0.00099834
7,2.606087,0.135194,2.645521,0.144000,0.466667,0.093138,0.00099626
8,2.557989,0.155414,2.607412,0.156000,0.549333,0.115648,0.00099336
9,2.512610,0.183824,2.566175,0.193333,0.597333,0.160819,0.00098964
10,2.485527,0.189338,2.517015,0.229333,0.637333,0.198052,0.00098511
11,2.468293,0.210561,2.456245,0.264000,0.692000,0.233904,0.00097977
12,2.419064,0.218583,2.386484,0.308000,0.725333,0.277809,0.00097363
13,2.407661,0.225100,2.317649,0.336000,0.753333,0.302199,0.00096670
14,2.361063,0.242981,2.248801,0.356000,0.766667,0.322709,0.00095900
15,2.336545,0.269886,2.181930,0.392000,0.785333,0.357601,0.00095053
16,2.323684,0.281250,2.118935,0.413333,0.805333,0.384440,0.00094132
17,2.301506,0.272393,2.064116,0.430667,0.800000,0.397726,0.00093137
18,2.243495,0.285428,2.014382,0.446667,0.806667,0.416610,0.00092071
19,2.222954,0.298128,1.967184,0.454667,0.814667,0.424361,0.00090934
20,2.226864,0.296791,1.924269,0.470667,0.818667,0.443255,0.00089730
21,2.235785,0.300969,1.888975,0.481333,0.825333,0.455536,0.00088459
22,2.195389,0.322193,1.858192,0.496000,0.834667,0.470142,0.00087125
23,2.193023,0.315174,1.834882,0.509333,0.829333,0.482209,0.00085728
24,2.202184,0.316678,1.814557,0.521333,0.840000,0.495435,0.00084273
25,2.174756,0.308991,1.796377,0.533333,0.838667,0.506565,0.00082760
26,2.113928,0.352106,1.780196,0.534667,0.840000,0.509595,0.00081193
27,2.118300,0.330214,1.766895,0.542667,0.845333,0.520382,0.00079575
28,2.116322,0.337734,1.754269,0.548000,0.844000,0.527099,0.00077907
29,2.105146,0.354947,1.745452,0.550667,0.842667,0.529197,0.00076192
30,2.080172,0.359793,1.736007,0.552000,0.841333,0.531308,0.00074434
31,2.043213,0.353443,1.728781,0.554667,0.846667,0.532769,0.00072636
32,2.087665,0.332219,1.720800,0.564000,0.846667,0.542014,0.00070800
33,2.068436,0.387366,1.711569,0.564000,0.852000,0.542019,0.00068929
34,1.986358,0.377340,1.702008,0.572000,0.856000,0.551798,0.00067027
35,2.031400,0.366477,1.696450,0.577333,0.857333,0.558928,0.00065097
36,2.046064,0.354278,1.689607,0.582667,0.864000,0.563997,0.00063142
37,2.008727,0.376170,1.683017,0.589333,0.866667,0.570433,0.00061165
38,2.026669,0.400902,1.676709,0.588000,0.870667,0.571379,0.00059169
39,1.990733,0.396725,1.672130,0.584000,0.869333,0.568180,0.00057159
40,1.978006,0.396056,1.667456,0.584000,0.868000,0.568551,0.00055136
41,1.960570,0.402239,1.663890,0.584000,0.866667,0.567565,0.00053105
42,1.927520,0.404412,1.660340,0.586667,0.869333,0.573146,0.00051069
43,1.911096,0.403910,1.658496,0.586667,0.868000,0.572848,0.00049031
44,1.891248,0.456885,1.657622,0.586667,0.872000,0.574292,0.00046995
45,1.882632,0.429479,1.658229,0.589333,0.870667,0.576598,0.00044964
46,1.902656,0.424967,1.656859,0.590667,0.866667,0.578588,0.00042941
47,1.840841,0.455047,1.658787,0.585333,0.865333,0.573667,0.00040931
48,1.895605,0.421290,1.657117,0.588000,0.866667,0.577335,0.00038935
49,1.869502,0.424967,1.656552,0.588000,0.865333,0.577919,0.00036958
50,1.881023,0.432988,1.660064,0.594667,0.865333,0.584918,0.00035003
51,1.779838,0.467914,1.663878,0.588000,0.868000,0.579585,0.00033073
52,1.798323,0.467914,1.664946,0.586667,0.866667,0.578140,0.00031171
53,1.839325,0.452874,1.665844,0.585333,0.865333,0.577751,0.00029300
54,1.834257,0.457553,1.668426,0.588000,0.862667,0.580744,0.00027464
55,1.762608,0.493148,1.671448,0.585333,0.861333,0.578896,0.00025666
56,1.745948,0.468249,1.673193,0.586667,0.864000,0.580371,0.00023908
57,1.730736,0.492313,1.676315,0.585333,0.862667,0.579146,0.00022193
58,1.784891,0.470922,1.677542,0.589333,0.862667,0.583709,0.00020525
59,1.729181,0.500501,1.678576,0.582667,0.860000,0.576515,0.00018907
60,1.748171,0.483456,1.680818,0.577333,0.860000,0.572095,0.00017340
61,1.755329,0.469753,1.683490,0.578667,0.857333,0.574051,0.00015827
62,1.710129,0.496324,1.685617,0.582667,0.853333,0.578416,0.00014372
63,1.700240,0.471591,1.690196,0.586667,0.850667,0.583617,0.00012975
64,1.719922,0.524064,1.692035,0.588000,0.853333,0.586044,0.00011641
65,1.677865,0.511698,1.694387,0.584000,0.853333,0.582081,0.00010370
66,1.667064,0.505180,1.696681,0.582667,0.856000,0.580727,0.00009166
67,1.723088,0.503676,1.697033,0.581333,0.852000,0.578574,0.00008029
68,1.646412,0.522560,1.698468,0.577333,0.850667,0.574873,0.00006963
69,1.670875,0.491644,1.699979,0.577333,0.852000,0.575360,0.00005968
70,1.661566,0.524900,1.702491,0.576000,0.852000,0.574317,0.00005047
71,1.654439,0.508189,1.705281,0.580000,0.856000,0.577778,0.00004200
72,1.691144,0.518549,1.707121,0.578667,0.852000,0.576414,0.00003430
73,1.608730,0.513035,1.711783,0.578667,0.852000,0.576592,0.00002737
74,1.635405,0.531918,1.715187,0.582667,0.850667,0.580641,0.00002123
75,1.671325,0.488302,1.718448,0.581333,0.850667,0.579186,0.00001589
76,1.660094,0.522727,1.720417,0.578667,0.848000,0.576655,0.00001136
77,1.696920,0.491644,1.723181,0.581333,0.846667,0.578963,0.00000764
78,1.639936,0.512533,1.725858,0.577333,0.844000,0.575387,0.00000474
79,1.692951,0.486297,1.726463,0.578667,0.845333,0.576782,0.00000266
80,1.678195,0.510862,1.726755,0.580000,0.844000,0.577944,0.00000142
