epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,2.777642,0.080548,2.704487,0.108000,0.384000,0.064239,0.00010000
2,2.774375,0.088068,2.720010,0.078667,0.397333,0.027948,0.00040000
3,2.733563,0.095087,2.704802,0.093333,0.382667,0.043410,0.00070000
4,2.714571,0.102774,2.749150,0.113333,0.402667,0.062145,0.00100000
5,2.675659,0.110795,2.634792,0.108000,0.410667,0.075603,0.00099994
6,2.642164,0.117313,2.653521,0.118667,0.434667,0.086363,0.00099975
7,2.607458,0.131517,2.657555,0.116000,0.422667,0.079678,0.00099943
8,2.565385,0.152908,2.622250,0.138667,0.469333,0.108404,0.00099898
9,2.504105,0.170789,2.634089,0.117333,0.456000,0.087390,0.00099841
10,2.440089,0.199866,2.679632,0.145333,0.468000,0.129655,0.00099772
11,2.324605,0.219418,2.717113,0.149333,0.466667,0.126929,0.00099689
12,2.183384,0.280916,2.748450,0.146667,0.501333,0.133689,0.00099594
13,2.078453,0.313837,2.830989,0.152000,0.520000,0.140658,0.00099486
14,1.956860,0.345922,2.904324,0.156000,0.520000,0.147369,0.00099366
15,1.764956,0.392547,2.989325,0.156000,0.504000,0.146132,0.00099233
16,1.604206,0.474766,3.510312,0.160000,0.510667,0.154796,0.00099088
17,1.505954,0.483957,3.028590,0.154667,0.506667,0.156859,0.00098930
18,1.428589,0.527072,3.136427,0.161333,0.506667,0.160529,0.00098760
19,1.395010,0.551136,3.278480,0.154667,0.518667,0.147033,0.00098578
20,1.383415,0.580381,3.225557,0.169333,0.489333,0.161551,0.00098383
21,1.293530,0.532086,3.171623,0.157333,0.486667,0.151601,0.00098176
22,1.139642,0.571691,3.209870,0.164000,0.501333,0.162841,0.00097956
23,1.117609,0.631183,3.435632,0.172000,0.488000,0.164647,0.00097725
24,1.111722,0.627507,3.494965,0.170667,0.510667,0.168908,0.00097481
25,1.021391,0.665943,3.481803,0.170667,0.510667,0.167032,0.00097225
26,0.939184,0.670956,3.642579,0.168000,0.481333,0.160872,0.00096957
27,0.956414,0.692346,3.683492,0.158667,0.496000,0.152481,0.00096678
28,0.904952,0.681985,4.717525,0.156000,0.466667,0.149606,0.00096386
29,0.861069,0.696190,3.874079,0.164000,0.505333,0.165461,0.00096083
30,0.951200,0.706217,4.643479,0.161333,0.485333,0.167358,0.00095768
31,0.877506,0.680481,4.037641,0.161333,0.477333,0.163920,0.00095441
32,0.803445,0.713570,3.500029,0.170667,0.494667,0.163744,0.00095103
33,0.873709,0.674632,4.898956,0.165333,0.508000,0.164229,0.00094753
34,0.759945,0.704044,3.632673,0.161333,0.516000,0.155136,0.00094392
35,0.898558,0.657921,4.070967,0.169333,0.494667,0.159693,0.00094020
36,0.805764,0.703376,4.149614,0.177333,0.469333,0.178064,0.00093636
37,0.741688,0.734291,4.706101,0.173333,0.490667,0.167577,0.00093241
38,0.765048,0.732286,3.486750,0.160000,0.501333,0.154835,0.00092836
39,0.731105,0.715742,4.192456,0.168000,0.492000,0.164274,0.00092419
40,0.806638,0.715909,5.034341,0.158667,0.469333,0.155545,0.00091992
41,0.844971,0.673463,3.937263,0.172000,0.493333,0.161933,0.00091554
42,0.732760,0.676638,3.847546,0.162667,0.497333,0.157484,0.00091106
43,0.734989,0.670956,3.681467,0.172000,0.542667,0.169159,0.00090647
44,0.862002,0.685829,3.490783,0.156000,0.484000,0.153668,0.00090178
45,0.748938,0.740307,3.448475,0.177333,0.477333,0.173160,0.00089698
46,0.756774,0.724432,4.454306,0.169333,0.476000,0.169097,0.00089209
47,0.812187,0.697861,4.339119,0.165333,0.485333,0.162402,0.00088709
48,0.814176,0.715408,3.451732,0.174667,0.516000,0.169586,0.00088200
49,0.699859,0.734960,4.606238,0.166667,0.449333,0.152501,0.00087681
50,0.742161,0.711397,4.267911,0.157333,0.505333,0.150760,0.00087152
51,0.709672,0.733957,4.878886,0.168000,0.506667,0.163565,0.00086614
52,0.713409,0.685662,4.490051,0.173333,0.480000,0.169141,0.00086067
53,0.725342,0.725769,3.591554,0.172000,0.502667,0.166187,0.00085511
54,0.740448,0.713068,4.109793,0.162667,0.476000,0.161194,0.00084945
55,0.725628,0.749666,4.178840,0.157333,0.502667,0.151194,0.00084371
56,0.740460,0.719418,4.728825,0.156000,0.484000,0.153593,0.00083788
57,0.749386,0.725602,3.521479,0.153333,0.496000,0.153038,0.00083196
58,0.692346,0.763369,4.714803,0.162667,0.486667,0.161859,0.00082596
