epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,2.788343,0.074365,2.851371,0.057333,0.325333,0.023339,0.00010000
2,2.808254,0.071858,2.831373,0.064000,0.325333,0.024338,0.00040000
3,2.774620,0.075702,2.766356,0.066667,0.333333,0.028802,0.00070000
4,2.742880,0.085060,2.715468,0.081333,0.369333,0.055405,0.00100000
5,2.703344,0.095922,2.681902,0.098667,0.429333,0.057445,0.00099958
6,2.644487,0.127841,2.656608,0.126667,0.453333,0.084444,0.00099834
7,2.592891,0.149566,2.624494,0.149333,0.508000,0.105294,0.00099626
8,2.571489,0.167781,2.584332,0.178667,0.561333,0.144750,0.00099336
9,2.526711,0.170120,2.537049,0.214667,0.606667,0.178736,0.00098964
10,2.476195,0.196357,2.481015,0.238667,0.646667,0.202265,0.00098511
11,2.460759,0.211397,2.421973,0.264000,0.681333,0.219787,0.00097977
12,2.413787,0.223930,2.357891,0.305333,0.717333,0.267382,0.00097363
13,2.402164,0.238302,2.293155,0.338667,0.753333,0.300808,0.00096670
14,2.373111,0.239305,2.230387,0.370667,0.770667,0.341123,0.00095900
15,2.347227,0.244485,2.170911,0.402667,0.780000,0.368396,0.00095053
16,2.287825,0.295120,2.114111,0.432000,0.790667,0.398673,0.00094132
17,2.287350,0.286598,2.061866,0.440000,0.794667,0.405333,0.00093137
18,2.265030,0.298128,2.016649,0.448000,0.801333,0.415765,0.00092071
19,2.274024,0.284926,1.977713,0.458667,0.806667,0.430150,0.00090934
20,2.214699,0.306150,1.942311,0.460000,0.808000,0.433152,0.00089730
21,2.220388,0.313168,1.906342,0.480000,0.818667,0.453447,0.00088459
22,2.182146,0.315675,1.874447,0.486667,0.824000,0.458047,0.00087125
23,2.188832,0.332553,1.847359,0.501333,0.830667,0.475219,0.00085728
24,2.183849,0.320020,1.824290,0.517333,0.829333,0.493043,0.00084273
25,2.157370,0.324699,1.800770,0.525333,0.840000,0.502366,0.00082760
26,2.125308,0.352440,1.777724,0.530667,0.844000,0.509558,0.00081193
27,2.094857,0.369151,1.758141,0.530667,0.844000,0.510590,0.00079575
28,2.126631,0.351771,1.740647,0.533333,0.852000,0.513218,0.00077907
29,2.088824,0.362968,1.725866,0.542667,0.858667,0.522898,0.00076192
