epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,2.789229,0.073362,2.856325,0.054667,0.340000,0.024146,0.00010000
2,2.814252,0.071691,2.827815,0.073333,0.334667,0.034631,0.00040000
3,2.772162,0.073697,2.755984,0.074667,0.321333,0.038730,0.00070000
4,2.750737,0.073028,2.714514,0.078667,0.370667,0.034473,0.00100000
5,2.709324,0.089739,2.696611,0.097333,0.389333,0.053022,0.00099958
6,2.672861,0.104779,2.679391,0.110667,0.421333,0.059092,0.00099834
7,2.623772,0.136865,2.656216,0.126667,0.472000,0.089510,0.00099626
8,2.592039,0.142881,2.626904,0.153333,0.516000,0.125514,0.00099336
9,2.539202,0.173964,2.583544,0.192000,0.566667,0.158613,0.00098964
10,2.500849,0.190842,2.525652,0.224000,0.616000,0.179505,0.00098511
11,2.462866,0.204880,2.461694,0.262667,0.668000,0.216654,0.00097977
12,2.442849,0.214071,2.397201,0.298667,0.706667,0.260328,0.00097363
13,2.405910,0.231116,2.334307,0.328000,0.729333,0.292794,0.00096670
14,2.369398,0.246324,2.269760,0.350667,0.748000,0.312051,0.00095900
15,2.348759,0.264873,2.203190,0.368000,0.769333,0.332179,0.00095053
16,2.335575,0.264706,2.139165,0.400000,0.789333,0.365033,0.00094132
17,2.308513,0.274900,2.083249,0.420000,0.794667,0.386489,0.00093137
18,2.283101,0.296791,2.031478,0.445333,0.798667,0.413217,0.00092071
19,2.280203,0.273563,1.985442,0.454667,0.810667,0.420383,0.00090934
20,2.255768,0.298295,1.944843,0.465333,0.817333,0.432999,0.00089730
21,2.230818,0.301303,1.910934,0.474667,0.821333,0.445469,0.00088459
22,2.202645,0.310996,1.880327,0.490667,0.832000,0.459654,0.00087125
23,2.198305,0.325535,1.854687,0.496000,0.840000,0.466598,0.00085728
24,2.154392,0.333890,1.829801,0.504000,0.841333,0.476933,0.00084273
25,2.197813,0.290441,1.811193,0.521333,0.848000,0.492868,0.00082760
26,2.161384,0.329545,1.794986,0.524000,0.842667,0.497073,0.00081193
27,2.162996,0.321858,1.783579,0.525333,0.852000,0.499484,0.00079575
28,2.151929,0.336731,1.772291,0.529333,0.849333,0.506202,0.00077907
29,2.140785,0.338904,1.762148,0.540000,0.846667,0.518524,0.00076192
30,2.098857,0.367981,1.750146,0.550667,0.848000,0.529054,0.00074434
31,2.111053,0.326203,1.738829,0.550667,0.848000,0.529705,0.00072636
32,2.113463,0.346591,1.731045,0.557333,0.849333,0.536962,0.00070800
33,2.086212,0.359291,1.721817,0.556000,0.846667,0.535760,0.00068929
34,2.072183,0.360461,1.715980,0.566667,0.848000,0.547357,0.00067027
35,2.055782,0.381517,1.709602,0.568000,0.850667,0.548334,0.00065097
36,2.035145,0.358623,1.702623,0.568000,0.848000,0.550118,0.00063142
37,1.997590,0.378509,1.697679,0.569333,0.849333,0.552690,0.00061165
38,2.022731,0.371658,1.690595,0.573333,0.852000,0.556304,0.00059169
39,1.998201,0.392881,1.683012,0.572000,0.856000,0.556172,0.00057159
40,1.954349,0.410094,1.680107,0.573333,0.857333,0.558474,0.00055136
41,1.964745,0.408757,1.675263,0.574667,0.860000,0.560711,0.00053105
42,1.950104,0.437166,1.671108,0.577333,0.860000,0.564466,0.00051069
43,1.915439,0.425969,1.667614,0.580000,0.862667,0.566546,0.00049031
44,1.947804,0.423630,1.665235,0.581333,0.861333,0.569220,0.00046995
45,1.917907,0.420455,1.662510,0.590667,0.860000,0.577199,0.00044964
46,1.888027,0.416778,1.658888,0.590667,0.856000,0.578291,0.00042941
47,1.906056,0.383690,1.653768,0.589333,0.857333,0.577456,0.00040931
48,1.913327,0.399231,1.653132,0.589333,0.856000,0.577997,0.00038935
49,1.884905,0.424298,1.651394,0.590667,0.853333,0.579773,0.00036958
50,1.826647,0.452874,1.650810,0.588000,0.856000,0.576853,0.00035003
51,1.904684,0.427473,1.651773,0.592000,0.854667,0.580945,0.00033073
52,1.851776,0.435829,1.649106,0.590667,0.852000,0.580184,0.00031171
53,1.869824,0.432320,1.647307,0.589333,0.854667,0.579300,0.00029300
54,1.807031,0.449365,1.647947,0.590667,0.854667,0.579863,0.00027464
55,1.819547,0.442848,1.649070,0.590667,0.854667,0.580066,0.00025666
56,1.756485,0.465909,1.651142,0.590667,0.850667,0.581674,0.00023908
57,1.798768,0.458890,1.652943,0.594667,0.850667,0.586228,0.00022193
58,1.810853,0.445856,1.654773,0.596000,0.849333,0.589050,0.00020525
59,1.726779,0.461063,1.659710,0.601333,0.848000,0.594635,0.00018907
60,1.765296,0.469753,1.662739,0.601333,0.848000,0.595022,0.00017340
61,1.719109,0.480949,1.666603,0.600000,0.844000,0.594378,0.00015827
62,1.757340,0.481952,1.666898,0.596000,0.844000,0.590162,0.00014372
63,1.785457,0.472092,1.667327,0.590667,0.841333,0.584521,0.00012975
64,1.730572,0.488469,1.669765,0.590667,0.844000,0.585000,0.00011641
65,1.727517,0.476270,1.672012,0.593333,0.842667,0.587995,0.00010370
66,1.718593,0.492647,1.673926,0.592000,0.837333,0.586733,0.00009166
67,1.734822,0.483456,1.676132,0.590667,0.837333,0.585404,0.00008029
68,1.702549,0.520221,1.678633,0.589333,0.838667,0.583987,0.00006963
69,1.701622,0.484793,1.681281,0.593333,0.842667,0.587979,0.00005968
70,1.690363,0.496825,1.684381,0.589333,0.840000,0.583073,0.00005047
71,1.673592,0.503342,1.685796,0.589333,0.838667,0.583384,0.00004200
72,1.682034,0.509358,1.688508,0.590667,0.837333,0.584682,0.00003430
73,1.654331,0.528409,1.691112,0.589333,0.838667,0.582862,0.00002737
74,1.645880,0.530749,1.694262,0.589333,0.837333,0.583461,0.00002123
