epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,2.778523,0.073864,2.918453,0.072000,0.334667,0.026413,0.00010000
2,2.801505,0.080715,2.809254,0.080000,0.334667,0.031320,0.00040000
3,2.770933,0.076370,2.732323,0.089333,0.346667,0.039016,0.00070000
4,2.737577,0.088068,2.698431,0.088000,0.378667,0.059793,0.00100000
5,2.715052,0.086564,2.676255,0.094667,0.416000,0.054838,0.00099958
6,2.702693,0.090408,2.661555,0.106667,0.425333,0.062520,0.00099834
7,2.696972,0.088737,2.651204,0.106667,0.448000,0.074786,0.00099626
8,2.688963,0.089739,2.646637,0.122667,0.442667,0.087149,0.00099336
9,2.686086,0.099432,2.642350,0.120000,0.433333,0.078794,0.00098964
10,2.680270,0.094920,2.640312,0.134667,0.414667,0.085159,0.00098511
11,2.679149,0.099098,2.637245,0.136000,0.432000,0.085569,0.00097977
12,2.673157,0.103108,2.633409,0.134667,0.442667,0.082890,0.00097363
13,2.668506,0.105114,2.630176,0.132000,0.452000,0.084598,0.00096670
14,2.664862,0.105448,2.626873,0.142667,0.456000,0.100504,0.00095900
15,2.660510,0.110294,2.621240,0.145333,0.476000,0.103797,0.00095053
16,2.665650,0.108456,2.617276,0.145333,0.470667,0.099012,0.00094132
17,2.649388,0.113469,2.613019,0.142667,0.490667,0.094391,0.00093137
18,2.653407,0.114806,2.609677,0.140000,0.489333,0.092059,0.00092071
19,2.646095,0.120989,2.606527,0.149333,0.490667,0.096162,0.00090934
20,2.638893,0.118817,2.602568,0.146667,0.486667,0.093122,0.00089730
21,2.631015,0.126170,2.597911,0.149333,0.484000,0.096609,0.00088459
22,2.619797,0.130013,2.593960,0.154667,0.481333,0.098843,0.00087125
23,2.617842,0.135862,2.589132,0.161333,0.481333,0.108344,0.00085728
24,2.606060,0.140876,2.585448,0.160000,0.490667,0.105697,0.00084273
25,2.596131,0.135695,2.580473,0.160000,0.490667,0.102619,0.00082760
26,2.576662,0.154913,2.576298,0.164000,0.508000,0.107863,0.00081193
27,2.566905,0.154913,2.572404,0.164000,0.497333,0.107286,0.00079575
28,2.563772,0.157921,2.567268,0.177333,0.500000,0.130164,0.00077907
29,2.554978,0.167279,2.561848,0.177333,0.506667,0.130729,0.00076192
30,2.519171,0.179144,2.553397,0.184000,0.502667,0.137910,0.00074434
31,2.501502,0.185662,2.544155,0.181333,0.518667,0.137333,0.00072636
32,2.474421,0.189840,2.530678,0.185333,0.525333,0.141181,0.00070800
33,2.462947,0.203877,2.517943,0.201333,0.544000,0.162842,0.00068929
34,2.455799,0.202540,2.504974,0.210667,0.552000,0.174902,0.00067027
35,2.412898,0.219084,2.493847,0.214667,0.568000,0.178871,0.00065097
36,2.422770,0.207386,2.482937,0.212000,0.570667,0.175661,0.00063142
37,2.401628,0.222426,2.470248,0.226667,0.576000,0.188537,0.00061165
38,2.383629,0.238803,2.457614,0.237333,0.589333,0.201176,0.00059169
39,2.374651,0.236297,2.445866,0.241333,0.594667,0.210195,0.00057159
40,2.356823,0.240307,2.437528,0.241333,0.600000,0.209922,0.00055136
41,2.317669,0.250000,2.432085,0.230667,0.609333,0.202186,0.00053105
42,2.299211,0.265876,2.427829,0.237333,0.618667,0.211007,0.00051069
43,2.268431,0.272727,2.423991,0.238667,0.614667,0.214136,0.00049031
44,2.262223,0.304144,2.420116,0.248000,0.634667,0.220801,0.00046995
