epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,2.797187,0.068516,2.907262,0.062667,0.336000,0.024672,0.00010000
2,2.820293,0.073195,2.823634,0.074667,0.329333,0.033497,0.00040000
3,2.786757,0.080882,2.747107,0.082667,0.361333,0.041020,0.00070000
4,2.746506,0.089071,2.695620,0.100000,0.408000,0.057529,0.00100000
5,2.693638,0.099098,2.666985,0.109333,0.438667,0.071961,0.00099958
6,2.652390,0.125167,2.638400,0.137333,0.490667,0.108023,0.00099834
7,2.631602,0.127841,2.601131,0.153333,0.554667,0.117039,0.00099626
8,2.590724,0.143215,2.563386,0.185333,0.605333,0.145256,0.00099336
9,2.542371,0.169619,2.525302,0.208000,0.637333,0.167361,0.00098964
10,2.520343,0.170120,2.482851,0.226667,0.652000,0.173615,0.00098511
11,2.496286,0.193349,2.438534,0.252000,0.676000,0.195717,0.00097977
12,2.447258,0.206718,2.390190,0.282667,0.702667,0.226170,0.00097363
13,2.448816,0.201705,2.340144,0.309333,0.725333,0.254676,0.00096670
14,2.416511,0.230615,2.293945,0.330667,0.736000,0.275562,0.00095900
15,2.410401,0.235461,2.247310,0.353333,0.758667,0.297843,0.00095053
16,2.341385,0.254178,2.201497,0.381333,0.774667,0.330194,0.00094132
17,2.323487,0.261698,2.155099,0.404000,0.782667,0.356342,0.00093137
18,2.297425,0.270722,2.110972,0.420000,0.794667,0.375549,0.00092071
19,2.271416,0.276404,2.069941,0.436000,0.800000,0.396968,0.00090934
20,2.261890,0.280080,2.032470,0.452000,0.810667,0.415222,0.00089730
21,2.264465,0.284926,2.000181,0.466667,0.812000,0.432949,0.00088459
22,2.241732,0.307152,1.972449,0.472000,0.816000,0.439622,0.00087125
23,2.209141,0.298797,1.947774,0.481333,0.820000,0.448836,0.00085728
24,2.220611,0.295287,1.926008,0.494667,0.825333,0.465281,0.00084273
25,2.227589,0.290775,1.904671,0.494667,0.833333,0.465628,0.00082760
26,2.187033,0.323195,1.886324,0.497333,0.826667,0.468769,0.00081193
27,2.160488,0.346758,1.871065,0.497333,0.828000,0.468177,0.00079575
28,2.139980,0.323195,1.857097,0.502667,0.826667,0.473802,0.00077907
29,2.160893,0.326370,1.843049,0.506667,0.829333,0.479643,0.00076192
30,2.151534,0.331718,1.832214,0.506667,0.833333,0.477664,0.00074434
31,2.117556,0.329545,1.822856,0.514667,0.834667,0.484725,0.00072636
32,2.103340,0.337066,1.815561,0.518667,0.838667,0.493207,0.00070800
33,2.095037,0.352607,1.806792,0.522667,0.834667,0.495223,0.00068929
34,2.120189,0.349933,1.798811,0.526667,0.834667,0.501119,0.00067027
35,2.080730,0.360294,1.788636,0.530667,0.838667,0.507108,0.00065097
36,2.065676,0.368650,1.781289,0.532000,0.838667,0.510064,0.00063142
37,2.033715,0.376504,1.775774,0.529333,0.836000,0.508300,0.00061165
38,2.041964,0.351103,1.768879,0.528000,0.838667,0.507912,0.00059169
39,2.027682,0.366979,1.762367,0.532000,0.838667,0.514153,0.00057159
40,1.976206,0.391711,1.759127,0.540000,0.830667,0.522003,0.00055136
41,1.981712,0.385194,1.757212,0.540000,0.830667,0.524811,0.00053105
42,1.967893,0.397894,1.756666,0.532000,0.834667,0.515858,0.00051069
43,1.943849,0.389037,1.756494,0.533333,0.830667,0.517439,0.00049031
44,1.937983,0.421457,1.754762,0.533333,0.832000,0.518220,0.00046995
45,1.929499,0.409425,1.754031,0.537333,0.832000,0.524208,0.00044964
46,1.923292,0.403242,1.753722,0.546667,0.833333,0.533744,0.00042941
47,1.873481,0.427473,1.754616,0.540000,0.832000,0.526372,0.00040931
48,1.914405,0.414773,1.754946,0.542667,0.833333,0.531365,0.00038935
49,1.928823,0.405916,1.755044,0.544000,0.833333,0.532608,0.00036958
50,1.858872,0.431985,1.754934,0.550667,0.838667,0.540611,0.00035003
51,1.896048,0.422961,1.758521,0.542667,0.838667,0.533442,0.00033073
52,1.850990,0.447193,1.763510,0.537333,0.840000,0.528779,0.00031171
53,1.846588,0.430816,1.769012,0.530667,0.840000,0.521495,0.00029300
54,1.837743,0.441009,1.773166,0.534667,0.838667,0.525367,0.00027464
55,1.827424,0.461063,1.778524,0.536000,0.838667,0.527787,0.00025666
56,1.831050,0.443182,1.782324,0.533333,0.838667,0.525374,0.00023908
57,1.811548,0.459726,1.786198,0.526667,0.840000,0.519054,0.00022193
58,1.769517,0.488803,1.792925,0.525333,0.840000,0.518599,0.00020525
59,1.793498,0.467747,1.798733,0.526667,0.838667,0.519128,0.00018907
60,1.770412,0.467580,1.802666,0.526667,0.841333,0.519979,0.00017340
61,1.732728,0.469753,1.807186,0.528000,0.841333,0.521630,0.00015827
62,1.764771,0.486965,1.811960,0.522667,0.842667,0.516879,0.00014372
63,1.739420,0.477273,1.818891,0.518667,0.844000,0.512710,0.00012975
64,1.729422,0.478108,1.824718,0.517333,0.841333,0.512669,0.00011641
65,1.755506,0.491811,1.829506,0.516000,0.841333,0.511436,0.00010370
