epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,2.516645,0.218917,2.675983,0.124000,0.432000,0.115995,0.00010000
2,1.953268,0.412266,2.421753,0.332000,0.693333,0.314534,0.00040000
3,1.828987,0.453877,2.113764,0.558667,0.808000,0.545619,0.00070000
4,1.856289,0.453041,1.834328,0.654667,0.865333,0.644853,0.00100000
5,1.853341,0.463570,1.625586,0.680000,0.881333,0.671189,0.00099958
6,1.768087,0.490475,1.489715,0.697333,0.884000,0.690122,0.00099834
7,1.800155,0.495655,1.413666,0.710667,0.882667,0.705204,0.00099626
8,1.753699,0.484124,1.373425,0.714667,0.889333,0.710501,0.00099336
9,1.747760,0.492313,1.358636,0.712000,0.890667,0.707518,0.00098964
10,1.676680,0.511029,1.354944,0.713333,0.892000,0.709726,0.00098511
11,1.717726,0.483122,1.356279,0.720000,0.894667,0.716774,0.00097977
12,1.767133,0.492814,1.363075,0.721333,0.892000,0.718885,0.00097363
13,1.725539,0.498496,1.372409,0.720000,0.892000,0.717415,0.00096670
14,1.701675,0.525234,1.382703,0.718667,0.896000,0.716645,0.00095900
15,1.729580,0.494318,1.394551,0.717333,0.896000,0.715358,0.00095053
16,1.636749,0.540274,1.405559,0.714667,0.894667,0.712887,0.00094132
17,1.575128,0.528910,1.415474,0.714667,0.894667,0.713094,0.00093137
18,1.644059,0.501671,1.423741,0.714667,0.894667,0.713548,0.00092071
19,1.600937,0.544786,1.433150,0.716000,0.896000,0.715678,0.00090934
20,1.566058,0.545455,1.442280,0.710667,0.897333,0.709272,0.00089730
21,1.596458,0.527908,1.451351,0.713333,0.893333,0.712191,0.00088459
22,1.581680,0.557654,1.460333,0.710667,0.897333,0.708227,0.00087125
23,1.512050,0.556985,1.471925,0.702667,0.896000,0.701272,0.00085728
24,1.610876,0.533255,1.481334,0.690667,0.896000,0.688813,0.00084273
25,1.481222,0.554813,1.496795,0.690667,0.892000,0.688261,0.00082760
26,1.525177,0.580715,1.504611,0.693333,0.888000,0.690484,0.00081193
27,1.501493,0.552139,1.513108,0.690667,0.890667,0.687359,0.00079575
