class,support,f1
aber,50,0.197802
abgeordneten,50,0.413043
alle,50,0.065217
allein,50,0.181818
allem,50,0.450980
allen,50,0.139535
aller,50,0.215054
allerdings,50,0.262626
alles,50,0.191489
also,50,0.077922
andere,50,0.126316
anderen,50,0.045455
anderes,50,0.379310
anders,50,0.279570
anfrage,50,0.518519
angesprochen,50,0.636364
anhörung,50,0.590476
antrag,50,0.258621
antwort,50,0.495050
arbeit,50,0.472727
arbeiten,50,0.467290
auch,50,0.288462
aufgabe,50,0.679245
aufgaben,50,0.729167
aufgrund,50,0.484211
ausbildung,50,0.709091
ausdrücklich,50,0.666667
ausschuss,50,0.576923
bedeutet,50,0.589474
beiden,50,0.350877
beim,50,0.461538
beispiel,50,0.704762
beispielsweise,50,0.680851
beitrag,50,0.508475
bekommen,50,0.500000
bereich,50,0.392857
bereits,50,0.403670
beschäftigten,50,0.840000
besonders,50,0.666667
besser,50,0.431034
besteht,50,0.461538
bildung,50,0.569106
bisher,50,0.458716
bisschen,50,0.375000
bitte,50,0.137255
bleiben,50,0.346154
bleibt,50,0.392157
blick,50,0.336842
brauchen,50,0.534653
braucht,50,0.446809
bringen,50,0.320755
bund,50,0.424779
bündnis,50,0.212766
bürger,50,0.422222
bürgerinnen,50,0.796296
dabei,50,0.275229
dafür,50,0.295455
dagegen,50,0.323232
daher,50,0.116279
damals,50,0.338983
damen,50,0.376068
damit,50,0.257426
dank,50,0.317460
danke,50,0.216667
dann,50,0.055556
daran,50,0.114286
darauf,50,0.366667
darf,50,0.288462
darum,50,0.500000
darüber,50,0.329897
dass,50,0.166667
davon,50,0.351852
dazu,50,0.222222
debatte,50,0.412698
demokraten,50,0.574074
demokratie,50,0.652632
denen,50,0.052632
denke,50,0.278261
denn,50,0.081081
deren,50,0.045455
deshalb,50,0.382609
deswegen,50,0.362319
deutlich,50,0.387755
deutschen,50,0.640777
deutschland,50,0.697248
diejenigen,50,0.271845
dies,50,0.142857
diese,50,0.048780
diesem,50,0.201835
diesen,50,0.083333
dieser,50,0.250000
dieses,50,0.076190
digitalisierung,50,0.700855
dinge,50,0.104167
diskussion,50,0.648148
diskutieren,50,0.291262
diskutiert,50,0.407080
doch,50,0.114943
dort,50,0.157895
drei,50,0.166667
drucksache,50,0.256000
durch,50,0.216216
durchaus,50,0.446809
dürfen,50,0.354167
eben,50,0.166667
eher,50,0.152174
eigenen,50,0.309091
eigentlich,50,0.177778
eine,50,0.028986
einem,50,0.193548
einen,50,0.035088
einer,50,0.189189
eines,50,0.181818
einfach,50,0.368932
einige,50,0.150538
einmal,50,0.071429
eltern,50,0.265306
ende,50,0.266667
endlich,50,0.313725
entscheidung,50,0.709091
entwicklung,50,0.649573
ergebnis,50,0.435484
erhalten,50,0.147541
erinnern,50,0.150000
ernst,50,0.228571
erreichen,50,0.338983
erst,50,0.105263
erste,50,0.112360
ersten,50,0.265306
etwa,50,0.320755
etwas,50,0.267857
europa,50,0.642202
europäischen,50,0.627451
fall,50,0.222222
falsch,50,0.591837
fast,50,0.277778
fest,50,0.260870
finde,50,0.370370
finden,50,0.211538
fordern,50,0.270270
form,50,0.627119
frage,50,0.345455
fragen,50,0.333333
fraktion,50,0.351648
fraktionen,50,0.407767
frankfurt,50,0.580000
frau,50,0.202020
frauen,50,0.660377
