class,support,f1
aber,50,0.168675
abgeordneten,50,0.408602
alle,50,0.000000
allein,50,0.198347
allem,50,0.506667
allen,50,0.031250
aller,50,0.160000
allerdings,50,0.169811
alles,50,0.032787
also,50,0.058824
andere,50,0.098765
anderen,50,0.026667
anderes,50,0.297872
anders,50,0.157895
anfrage,50,0.394161
angesprochen,50,0.660194
anhörung,50,0.477876
antrag,50,0.187919
antwort,50,0.439560
arbeit,50,0.424242
arbeiten,50,0.330935
auch,50,0.181818
aufgabe,50,0.545455
aufgaben,50,0.659091
aufgrund,50,0.425532
ausbildung,50,0.778947
ausdrücklich,50,0.562500
ausschuss,50,0.576577
bedeutet,50,0.597938
beiden,50,0.297872
beim,50,0.340909
beispiel,50,0.571429
beispielsweise,50,0.589474
beitrag,50,0.432000
bekommen,50,0.516854
bereich,50,0.347826
bereits,50,0.373626
beschäftigten,50,0.780952
besonders,50,0.600000
besser,50,0.413043
besteht,50,0.440000
bildung,50,0.500000
bisher,50,0.344828
bisschen,50,0.200000
bitte,50,0.128440
bleiben,50,0.378378
bleibt,50,0.307692
blick,50,0.220000
brauchen,50,0.439024
braucht,50,0.368421
bringen,50,0.240964
bund,50,0.370370
bündnis,50,0.157895
bürger,50,0.372093
bürgerinnen,50,0.754386
dabei,50,0.204380
dafür,50,0.236559
dagegen,50,0.333333
daher,50,0.093750
damals,50,0.311927
damen,50,0.345324
damit,50,0.297872
dank,50,0.231405
danke,50,0.123288
dann,50,0.000000
daran,50,0.096774
darauf,50,0.308943
darf,50,0.319444
darum,50,0.337079
darüber,50,0.272727
dass,50,0.000000
davon,50,0.375000
dazu,50,0.204545
debatte,50,0.323529
demokraten,50,0.606061
demokratie,50,0.539683
denen,50,0.000000
denke,50,0.161290
denn,50,0.000000
deren,50,0.057971
deshalb,50,0.288000
deswegen,50,0.333333
deutlich,50,0.266667
deutschen,50,0.442748
deutschland,50,0.566038
diejenigen,50,0.204878
dies,50,0.000000
diese,50,0.000000
diesem,50,0.167742
diesen,50,0.026316
dieser,50,0.146341
dieses,50,0.065934
digitalisierung,50,0.552632
dinge,50,0.054054
diskussion,50,0.439024
diskutieren,50,0.351351
diskutiert,50,0.214286
doch,50,0.120690
dort,50,0.000000
drei,50,0.029851
drucksache,50,0.112150
durch,50,0.062500
durchaus,50,0.333333
dürfen,50,0.245902
eben,50,0.104167
eher,50,0.098765
eigenen,50,0.300885
eigentlich,50,0.153846
eine,50,0.000000
einem,50,0.125000
einen,50,0.037037
einer,50,0.077922
eines,50,0.101695
einfach,50,0.336842
einige,50,0.147059
einmal,50,0.000000
eltern,50,0.190476
ende,50,0.307692
endlich,50,0.181818
