epoch,train_loss,train_acc,val_loss,val_top1,val_top5,lr
1,6.191070,0.004115,6.176751,0.004965,0.022370,0.00010000
2,6.148407,0.005590,6.102758,0.007740,0.033730,0.00028000
3,5.939908,0.017285,5.655035,0.042280,0.131345,0.00046000
4,5.671638,0.044590,5.406677,0.079420,0.200505,0.00064000
5,5.500821,0.067495,5.213656,0.109205,0.247785,0.00082000
6,5.340448,0.091190,5.040248,0.135535,0.289310,0.00100000
7,5.182465,0.115050,4.881494,0.162710,0.330430,0.00099878
8,5.065479,0.133720,4.780978,0.176645,0.353990,0.00099514
9,4.966676,0.150395,4.704267,0.195385,0.374595,0.00098908
10,4.886177,0.164505,4.604305,0.211375,0.394755,0.00098065
11,4.815878,0.175910,4.512794,0.225735,0.413820,0.00096988
12,4.749766,0.187240,4.443442,0.238335,0.429525,0.00095682
13,4.696420,0.195855,4.388258,0.246425,0.441665,0.00094153
14,4.641931,0.204480,4.328397,0.257615,0.454375,0.00092410
15,4.592469,0.212725,4.290946,0.265375,0.463655,0.00090460
16,4.545033,0.220425,4.212395,0.279675,0.480970,0.00088314
17,4.495538,0.229560,4.161171,0.289215,0.489700,0.00085981
18,4.449155,0.237975,4.092948,0.300100,0.503705,0.00083473
19,4.402409,0.245125,4.044880,0.311515,0.515845,0.00080802
20,4.349355,0.254735,3.981461,0.320375,0.528485,0.00077982
21,4.294644,0.263980,3.925215,0.332170,0.540375,0.00075025
22,4.246072,0.271985,3.886967,0.339020,0.546550,0.00071947
23,4.194553,0.281395,3.822738,0.351355,0.559760,0.00068762
24,4.148344,0.289320,3.778363,0.360225,0.569125,0.00065485
25,4.099535,0.299150,3.715084,0.373190,0.580195,0.00062134
26,4.051317,0.305625,3.668999,0.380600,0.589640,0.00058724
27,4.002426,0.315075,3.606987,0.394290,0.600465,0.00055271
28,3.947039,0.326430,3.540001,0.405620,0.614110,0.00051793
29,3.896863,0.334685,3.494258,0.417020,0.622515,0.00048307
30,3.847001,0.344055,3.413038,0.433510,0.638685,0.00044829
31,3.797267,0.353235,3.365251,0.444095,0.647740,0.00041376
32,3.745981,0.362990,3.311924,0.454725,0.658135,0.00037966
33,3.693481,0.373180,3.241481,0.469620,0.671815,0.00034615
34,3.648356,0.380250,3.200490,0.477500,0.678675,0.00031338
35,3.593285,0.392494,3.135113,0.492162,0.691670,0.00028153
36,3.545607,0.400119,3.084031,0.504337,0.702340,0.00025075
37,3.498324,0.410274,3.019858,0.518292,0.713592,0.00022118
38,3.453151,0.418707,2.982861,0.526941,0.721082,0.00019298
39,3.412223,0.427261,2.933419,0.538534,0.730497,0.00016627
40,3.370533,0.436597,2.891805,0.548622,0.737856,0.00014119
41,3.330891,0.444514,2.858705,0.557471,0.745100,0.00011786
42,3.295619,0.452049,2.822284,0.564735,0.752088,0.00009640
43,3.264983,0.457618,2.802039,0.570177,0.755620,0.00007690
44,3.237208,0.462961,2.776876,0.576047,0.761017,0.00005947
45,3.213584,0.468178,2.759719,0.580918,0.764990,0.00004418
46,3.193850,0.471931,2.742613,0.585392,0.767654,0.00003112
47,3.177296,0.476165,2.730409,0.588151,0.770112,0.00002035
48,3.169095,0.477901,2.722770,0.590168,0.771732,0.00001192
49,3.154885,0.481969,2.720688,0.590705,0.771808,0.00000586
50,3.151040,0.483530,2.718571,0.591357,0.772344,0.00000222
