epoch,train_loss,train_acc,val_loss,val_top1,val_top5,lr
1,1.333799,0.695187,1.095959,0.819667,0.976833,0.00010000
2,1.420165,0.652908,1.204336,0.766500,0.971500,0.00040000
3,1.481054,0.633021,1.224335,0.753833,0.967500,0.00070000
4,1.533148,0.611965,1.202440,0.760167,0.967833,0.00100000
5,1.448678,0.644886,1.251275,0.737667,0.965167,0.00099662
6,1.364838,0.686832,1.041497,0.834167,0.983833,0.00098654
7,1.290488,0.712400,1.031653,0.839833,0.984000,0.00096988
8,1.214538,0.746825,0.968316,0.870667,0.988667,0.00094687
9,1.158989,0.773396,0.958571,0.880167,0.986167,0.00091783
10,1.121755,0.788770,0.848360,0.920667,0.993000,0.00088314
11,1.062805,0.810160,0.828264,0.939000,0.996667,0.00084328
12,0.998380,0.835394,0.845587,0.927667,0.996500,0.00079878
13,0.947957,0.855782,0.784289,0.955333,0.998333,0.00075025
14,0.902502,0.876170,0.745085,0.965500,0.997667,0.00069834
15,0.857522,0.893884,0.777802,0.967000,0.998667,0.00064376
16,0.826842,0.905247,0.689162,0.977500,0.999167,0.00058724
17,0.790120,0.918616,0.689852,0.978833,0.999333,0.00052954
18,0.755141,0.931818,0.643482,0.985667,0.999333,0.00047146
19,0.729796,0.939505,0.637949,0.989333,0.999667,0.00041376
20,0.707930,0.941845,0.634724,0.990833,0.999500,0.00035724
21,0.694546,0.951537,0.627512,0.993167,0.999833,0.00030266
22,0.674679,0.959392,0.605965,0.995333,0.999833,0.00025075
23,0.655855,0.966912,0.595777,0.996833,1.000000,0.00020222
24,0.638755,0.973262,0.595371,0.996833,0.999833,0.00015772
25,0.622555,0.976939,0.590445,0.996500,1.000000,0.00011786
26,0.609485,0.982787,0.582796,0.998000,1.000000,0.00008317
27,0.609500,0.981283,0.577886,0.998000,1.000000,0.00005413
28,0.610724,0.980949,0.577972,0.998167,1.000000,0.00003112
29,0.596358,0.986631,0.577101,0.998667,1.000000,0.00001446
30,0.594929,0.985127,0.577159,0.998333,1.000000,0.00000438
