epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,6.179117,0.004312,5.996233,0.009518,0.038876,0.001588,0.00010000
2,5.940606,0.014423,5.675149,0.036586,0.118554,0.018569,0.00028000
3,5.594282,0.050592,5.259753,0.099197,0.233012,0.065433,0.00046000
4,5.330857,0.088283,5.029830,0.134659,0.290000,0.097873,0.00064000
5,5.167762,0.113419,4.924001,0.154578,0.316867,0.120483,0.00082000
6,5.058995,0.130397,4.808901,0.177309,0.345542,0.143877,0.00100000
7,4.923757,0.151064,4.717953,0.194819,0.370562,0.162715,0.00099606
8,4.819882,0.168303,4.676863,0.201928,0.381486,0.168199,0.00098431
9,4.731130,0.183343,4.578260,0.221526,0.402209,0.190646,0.00096492
10,4.651945,0.196165,4.567132,0.223655,0.412651,0.196114,0.00093822
11,4.588243,0.206827,4.509236,0.236827,0.423574,0.208822,0.00090460
12,4.523861,0.217580,4.468921,0.245823,0.437470,0.220482,0.00086462
13,4.462008,0.227118,4.444167,0.247992,0.442008,0.221250,0.00081889
14,4.402093,0.237535,4.424147,0.255502,0.449558,0.231383,0.00076815
15,4.343048,0.247189,4.381677,0.263896,0.457590,0.238439,0.00071318
16,4.288943,0.258409,4.376676,0.270884,0.466104,0.247390,0.00065485
17,4.230338,0.268544,4.356113,0.276586,0.470643,0.253751,0.00059410
18,4.174435,0.277982,4.321688,0.280843,0.474859,0.257621,0.00053186
19,4.120485,0.286908,4.326945,0.286145,0.482008,0.263166,0.00046914
20,4.061484,0.298032,4.325621,0.286305,0.484297,0.266322,0.00040690
21,4.009206,0.308293,4.313252,0.289478,0.488474,0.268564,0.00034615
22,3.956811,0.316687,4.299804,0.295703,0.492209,0.275653,0.00028782
23,3.904702,0.326898,4.303745,0.299317,0.494819,0.277153,0.00023285
24,3.859848,0.335497,4.303917,0.301606,0.497229,0.281934,0.00018211
25,3.815817,0.343780,4.302742,0.303173,0.498313,0.282959,0.00013638
26,3.777371,0.352244,4.304617,0.303454,0.500201,0.285276,0.00009640
27,3.747470,0.356381,4.304234,0.306104,0.501807,0.287681,0.00006278
28,3.722746,0.360452,4.310122,0.306145,0.501486,0.287744,0.00003608
29,3.708087,0.364598,4.305585,0.308112,0.502691,0.289500,0.00001669
30,3.698356,0.365899,4.297824,0.308434,0.503454,0.289900,0.00000494
