epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,2.770761,0.071190,2.731109,0.053333,0.330667,0.029699,0.00010000
2,2.791837,0.072861,2.719763,0.070667,0.346667,0.032892,0.00040000
3,2.775460,0.080381,2.711284,0.068000,0.356000,0.024857,0.00070000
4,2.733799,0.085394,2.703716,0.069333,0.368000,0.029556,0.00100000
5,2.681672,0.105782,2.701383,0.088000,0.378667,0.043123,0.00099958
6,2.632444,0.132019,2.689135,0.096000,0.397333,0.049076,0.00099834
7,2.574549,0.159258,2.662435,0.109333,0.441333,0.065327,0.00099626
8,2.548312,0.169786,2.622992,0.132000,0.532000,0.089430,0.00099336
9,2.507546,0.183489,2.569012,0.193333,0.594667,0.163030,0.00098964
10,2.474942,0.194017,2.506813,0.240000,0.661333,0.210326,0.00098511
11,2.435124,0.217580,2.440312,0.266667,0.712000,0.239879,0.00097977
12,2.431070,0.218082,2.373918,0.310667,0.756000,0.275876,0.00097363
13,2.391757,0.225602,2.312444,0.345333,0.776000,0.315663,0.00096670
14,2.385902,0.246156,2.259826,0.372000,0.793333,0.336095,0.00095900
15,2.348531,0.250668,2.207207,0.408000,0.794667,0.377532,0.00095053
16,2.320413,0.269218,2.153745,0.418667,0.808000,0.388258,0.00094132
17,2.277884,0.273229,2.103676,0.425333,0.805333,0.393720,0.00093137
18,2.282407,0.279412,2.062995,0.437333,0.808000,0.405084,0.00092071
19,2.238882,0.284091,2.026651,0.454667,0.814667,0.423035,0.00090934
20,2.233625,0.301805,1.989355,0.469333,0.812000,0.439656,0.00089730
21,2.231760,0.293783,1.958360,0.478667,0.810667,0.450562,0.00088459
22,2.154825,0.313670,1.930370,0.484000,0.820000,0.457404,0.00087125
23,2.183163,0.301972,1.905123,0.500000,0.817333,0.475235,0.00085728
24,2.127933,0.342413,1.880924,0.509333,0.822667,0.485599,0.00084273
25,2.152697,0.326203,1.861532,0.514667,0.834667,0.490279,0.00082760
26,2.120959,0.330381,1.840931,0.526667,0.832000,0.503569,0.00081193
27,2.125854,0.340074,1.823749,0.529333,0.830667,0.505107,0.00079575
28,2.080649,0.358790,1.807200,0.534667,0.833333,0.512100,0.00077907
29,2.076087,0.345254,1.793539,0.541333,0.837333,0.517450,0.00076192
30,2.051227,0.365642,1.779965,0.549333,0.837333,0.525266,0.00074434
31,2.068052,0.337567,1.769484,0.554667,0.837333,0.531129,0.00072636
32,2.079001,0.371825,1.757858,0.557333,0.845333,0.533973,0.00070800
33,2.031750,0.352106,1.746752,0.565333,0.849333,0.541580,0.00068929
34,2.022069,0.375334,1.736281,0.561333,0.854667,0.540919,0.00067027
35,2.002462,0.387701,1.726509,0.561333,0.854667,0.542058,0.00065097
36,2.047054,0.378175,1.720875,0.568000,0.857333,0.547907,0.00063142
37,2.003197,0.395722,1.715112,0.562667,0.856000,0.543950,0.00061165
38,1.990088,0.397226,1.709858,0.566667,0.857333,0.549207,0.00059169
39,1.935065,0.394719,1.704072,0.568000,0.860000,0.551135,0.00057159
40,1.950143,0.402741,1.695490,0.565333,0.862667,0.548859,0.00055136
41,1.989421,0.405247,1.688320,0.569333,0.858667,0.552668,0.00053105
42,1.929792,0.411096,1.680479,0.568000,0.856000,0.550449,0.00051069
43,1.937682,0.389372,1.672133,0.573333,0.857333,0.555179,0.00049031
44,1.923973,0.397727,1.665767,0.576000,0.858667,0.561652,0.00046995
45,1.899608,0.435160,1.659411,0.577333,0.858667,0.564803,0.00044964
46,1.875935,0.432821,1.654671,0.574667,0.858667,0.562418,0.00042941
47,1.891966,0.433656,1.651844,0.581333,0.861333,0.568427,0.00040931
48,1.865050,0.421123,1.649647,0.585333,0.866667,0.573444,0.00038935
49,1.856275,0.441678,1.645892,0.593333,0.865333,0.582925,0.00036958
50,1.864059,0.417948,1.641635,0.592000,0.862667,0.582753,0.00035003
51,1.885765,0.439505,1.639330,0.600000,0.865333,0.592531,0.00033073
52,1.817334,0.440007,1.636465,0.596000,0.865333,0.588345,0.00031171
53,1.828511,0.427139,1.633602,0.594667,0.870667,0.587589,0.00029300
54,1.768500,0.442179,1.630643,0.596000,0.870667,0.589949,0.00027464
55,1.748224,0.478610,1.628971,0.592000,0.869333,0.586053,0.00025666
56,1.813054,0.465408,1.628105,0.596000,0.868000,0.589918,0.00023908
57,1.805941,0.417948,1.625240,0.593333,0.866667,0.587682,0.00022193
58,1.812537,0.435160,1.622789,0.596000,0.866667,0.590370,0.00020525
59,1.774165,0.482620,1.622014,0.586667,0.868000,0.581416,0.00018907
60,1.771688,0.455715,1.621269,0.589333,0.868000,0.583996,0.00017340
61,1.827076,0.457553,1.621064,0.590667,0.865333,0.585094,0.00015827
62,1.746859,0.464238,1.621877,0.594667,0.864000,0.589434,0.00014372
63,1.768229,0.484793,1.622721,0.598667,0.864000,0.594003,0.00012975
64,1.740825,0.501838,1.622850,0.602667,0.861333,0.597937,0.00011641
65,1.743183,0.474766,1.622789,0.601333,0.858667,0.596634,0.00010370
66,1.684015,0.525401,1.624449,0.604000,0.860000,0.599159,0.00009166
67,1.734255,0.464071,1.625619,0.604000,0.858667,0.599632,0.00008029
68,1.728390,0.491644,1.626606,0.605333,0.860000,0.601560,0.00006963
69,1.710712,0.472259,1.627944,0.606667,0.858667,0.603414,0.00005968
70,1.721061,0.469251,1.628327,0.606667,0.857333,0.603325,0.00005047
71,1.625435,0.503342,1.628876,0.609333,0.854667,0.606010,0.00004200
72,1.693210,0.472426,1.630173,0.605333,0.853333,0.602245,0.00003430
73,1.680715,0.476771,1.631207,0.608000,0.850667,0.604794,0.00002737
