epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,2.732972,0.087233,2.742375,0.094667,0.384000,0.048613,0.00010000
2,2.754275,0.091912,2.720651,0.104000,0.402667,0.058973,0.00040000
3,2.726232,0.095254,2.710906,0.093333,0.389333,0.040654,0.00070000
4,2.717261,0.095755,2.807198,0.108000,0.402667,0.067759,0.00100000
5,2.680985,0.102440,2.621484,0.116000,0.428000,0.081383,0.00099994
6,2.663001,0.105448,2.625250,0.106667,0.434667,0.063057,0.00099975
7,2.649364,0.109960,2.622344,0.114667,0.430667,0.072766,0.00099943
8,2.615857,0.123997,2.616224,0.116000,0.440000,0.071927,0.00099898
9,2.596088,0.131684,2.617052,0.121333,0.465333,0.081957,0.00099841
10,2.573632,0.143549,2.651129,0.133333,0.464000,0.101056,0.00099772
11,2.522369,0.156250,2.610213,0.146667,0.488000,0.121805,0.00099689
12,2.476022,0.174799,2.581559,0.165333,0.500000,0.143501,0.00099594
13,2.402481,0.201705,2.567653,0.156000,0.497333,0.151234,0.00099486
14,2.355045,0.217079,2.571476,0.180000,0.513333,0.148784,0.00099366
15,2.250523,0.267045,2.556885,0.196000,0.526667,0.173832,0.00099233
16,2.182685,0.278743,2.556858,0.201333,0.548000,0.184475,0.00099088
17,2.070046,0.308322,2.609891,0.180000,0.541333,0.175167,0.00098930
18,1.938234,0.350434,2.669104,0.184000,0.553333,0.179502,0.00098760
19,1.825931,0.384693,2.705965,0.189333,0.552000,0.190135,0.00098578
20,1.620728,0.459225,2.867402,0.225333,0.553333,0.212811,0.00098383
21,1.572622,0.461564,2.664815,0.216000,0.566667,0.215759,0.00098176
22,1.422189,0.502841,2.975431,0.189333,0.540000,0.185758,0.00097956
23,1.360292,0.508857,2.836808,0.190667,0.553333,0.189510,0.00097725
24,1.274620,0.551638,2.710511,0.201333,0.556000,0.198333,0.00097481
25,1.200031,0.548630,2.992988,0.194667,0.538667,0.196740,0.00097225
26,1.086244,0.616477,3.158967,0.200000,0.554667,0.200786,0.00096957
27,1.053144,0.613135,3.216187,0.178667,0.552000,0.185167,0.00096678
28,1.008003,0.670287,3.045578,0.189333,0.542667,0.194912,0.00096386
29,1.044978,0.654746,2.982097,0.218667,0.561333,0.217137,0.00096083
30,0.890541,0.665608,3.105590,0.209333,0.557333,0.209504,0.00095768
31,1.031429,0.637366,2.945919,0.194667,0.534667,0.198882,0.00095441
32,0.935638,0.640374,3.075352,0.200000,0.562667,0.207938,0.00095103
33,0.899454,0.690842,3.192703,0.202667,0.545333,0.207899,0.00094753
34,0.884686,0.658422,3.123879,0.216000,0.561333,0.213251,0.00094392
35,0.851176,0.706885,3.262227,0.196000,0.557333,0.199660,0.00094020
36,0.834303,0.658088,3.128071,0.194667,0.548000,0.200900,0.00093636
37,0.843692,0.698028,3.319383,0.212000,0.561333,0.213270,0.00093241
38,0.863962,0.672961,3.121721,0.205333,0.554667,0.206406,0.00092836
39,0.851123,0.668282,3.421640,0.205333,0.548000,0.203114,0.00092419
40,0.859900,0.695521,3.238922,0.182667,0.553333,0.189557,0.00091992
41,0.931827,0.668783,3.045545,0.201333,0.537333,0.193927,0.00091554
42,0.827284,0.682821,3.601716,0.213333,0.550667,0.207733,0.00091106
43,0.816803,0.699031,3.142273,0.222667,0.545333,0.222377,0.00090647
44,0.728142,0.709726,2.994605,0.197333,0.569333,0.200138,0.00090178
45,0.737866,0.714071,3.729042,0.201333,0.568000,0.207067,0.00089698
