epoch,train_loss,train_acc,val_loss,val_top1,val_top5,val_f1,lr
1,2.644659,0.170789,2.725195,0.061333,0.426667,0.029362,0.00010000
2,2.210226,0.387868,2.575974,0.233333,0.597333,0.193704,0.00040000
3,1.984003,0.391043,2.339701,0.500000,0.790667,0.473591,0.00070000
4,1.844553,0.454713,2.090594,0.621333,0.856000,0.598161,0.00100000
5,1.855232,0.448028,1.872581,0.657333,0.872000,0.639239,0.00099958
6,1.841296,0.440007,1.698185,0.672000,0.880000,0.658161,0.00099834
7,1.787524,0.481116,1.572826,0.676000,0.878667,0.664722,0.00099626
8,1.805795,0.467914,1.487826,0.686667,0.885333,0.677269,0.00099336
9,1.732684,0.499332,1.432814,0.698667,0.886667,0.691141,0.00098964
10,1.815606,0.495488,1.403273,0.705333,0.882667,0.698859,0.00098511
11,1.734304,0.492146,1.389028,0.704000,0.884000,0.697400,0.00097977
12,1.718062,0.497660,1.381649,0.702667,0.882667,0.697282,0.00097363
13,1.709754,0.486965,1.380821,0.704000,0.885333,0.698275,0.00096670
14,1.670083,0.505180,1.383408,0.701333,0.886667,0.695835,0.00095900
15,1.662787,0.534258,1.391354,0.701333,0.890667,0.695269,0.00095053
16,1.580140,0.562166,1.401547,0.698667,0.889333,0.693306,0.00094132
17,1.678591,0.527741,1.411743,0.689333,0.885333,0.683245,0.00093137
18,1.688921,0.504345,1.421041,0.686667,0.885333,0.679848,0.00092071
19,1.692279,0.506517,1.431137,0.690667,0.880000,0.685116,0.00090934
20,1.632742,0.539940,1.441306,0.690667,0.876000,0.684685,0.00089730
21,1.605928,0.539271,1.448496,0.692000,0.876000,0.686642,0.00088459
22,1.611253,0.560160,1.457713,0.684000,0.872000,0.679610,0.00087125
23,1.552382,0.549632,1.471029,0.678667,0.878667,0.674360,0.00085728
24,1.536782,0.547126,1.480303,0.678667,0.873333,0.674366,0.00084273
25,1.517256,0.584726,1.487727,0.682667,0.877333,0.678697,0.00082760
26,1.577197,0.550134,1.491827,0.686667,0.873333,0.682693,0.00081193
27,1.579219,0.533088,1.497810,0.682667,0.868000,0.678773,0.00079575
