epoch,train_loss,train_acc,val_loss,val_top1,val_top5,lr
1,3.058610,0.572580,3.042690,0.600040,0.752570,0.00003000
2,2.512860,0.709081,2.757161,0.676305,0.780120,0.00008400
3,2.375734,0.733916,2.650007,0.702731,0.788635,0.00013800
4,2.320425,0.741707,2.615934,0.708353,0.790924,0.00019200
5,2.277502,0.745743,2.621388,0.704217,0.790884,0.00024600
6,2.249356,0.748795,2.607638,0.708755,0.793936,0.00030000
7,2.189039,0.757008,2.615879,0.705663,0.792129,0.00029940
8,2.131659,0.764714,2.630467,0.705944,0.791245,0.00029760
9,2.076048,0.773122,2.656872,0.699920,0.789116,0.00029461
10,1.985534,0.787942,2.682946,0.701566,0.786667,0.00025054
11,1.901446,0.802746,2.713032,0.699639,0.783976,0.00022525
12,1.811995,0.821290,2.769394,0.691285,0.779277,0.00019670
13,1.721057,0.842751,2.800139,0.690120,0.779317,0.00016613
14,1.627178,0.866983,2.842071,0.687791,0.776185,0.00013487
15,1.542067,0.890005,2.882142,0.685422,0.771687,0.00010430
16,1.465622,0.914081,2.911192,0.679880,0.770281,0.00007575
17,1.403903,0.931998,2.934617,0.675944,0.767430,0.00005046
