epoch,train_acc,val_top1,val_top5,lr
1,0.3702,0.6676,0.7760,0.000298
2,0.6164,0.6992,0.7869,0.000293
3,0.6466,0.7068,0.7907,0.000284
4,0.6581,0.7063,0.7918,0.000271
5,0.6665,0.7088,0.7946,0.000256
6,0.6745,0.7081,0.7933,0.000238
7,0.6779,0.7119,0.7957,0.000218
8,0.6820,0.7107,0.7954,0.000197
9,0.6844,0.7107,0.7955,0.000174
10,0.6885,0.7118,0.7953,0.000150
11,0.6906,0.7121,0.7958,0.000127
12,0.6931,0.7119,0.7968,0.000104
13,0.6945,0.7120,0.7971,0.000083
14,0.6967,0.7128,0.7971,0.000063
15,0.6992,0.7135,0.7973,0.000045
16,0.7001,0.7129,0.7976,0.000030
17,0.7004,0.7141,0.7977,0.000017
18,0.6999,0.7139,0.7977,0.000008
19,0.7026,0.7134,0.7977,0.000003
20,0.7022,0.7130,0.7978,0.000001
