epoch,train_acc,val_top1,val_top5,lr
1,0.3271,0.4699,0.6538,0.000298
2,0.5462,0.5365,0.7073,0.000293
3,0.5954,0.5667,0.7297,0.000284
4,0.6151,0.5821,0.7405,0.000271
5,0.6273,0.5899,0.7450,0.000256
6,0.6363,0.5941,0.7477,0.000238
7,0.6401,0.5965,0.7487,0.000218
8,0.6438,0.5992,0.7506,0.000197
9,0.6478,0.6007,0.7517,0.000174
10,0.6497,0.6026,0.7520,0.000150
11,0.6520,0.6028,0.7521,0.000127
12,0.6537,0.6043,0.7528,0.000104
13,0.6554,0.6050,0.7533,0.000083
14,0.6562,0.6050,0.7531,0.000063
15,0.6578,0.6055,0.7535,0.000045
16,0.6587,0.6053,0.7534,0.000030
17,0.6580,0.6053,0.7533,0.000017
18,0.6598,0.6051,0.7537,0.000008
19,0.6602,0.6054,0.7537,0.000003
