system,noise,snr_db,top1,top5
visual_only,n/a,n/a,0.2620,0.4506
multimodal,none,clean,0.7163,0.7962
audio_only,none,clean,0.6118,0.7697
multimodal,white,15,0.6998,0.7882
audio_only,white,15,0.5162,0.6983
multimodal,white,10,0.6792,0.7796
audio_only,white,10,0.4546,0.6438
multimodal,white,5,0.6421,0.7614
audio_only,white,5,0.3508,0.5415
multimodal,babble,15,0.6951,0.7851
audio_only,babble,15,0.5626,0.7309
multimodal,babble,10,0.6603,0.7692
audio_only,babble,10,0.4825,0.6653
multimodal,babble,5,0.5702,0.7134
audio_only,babble,5,0.2932,0.4685
