epoch,train_acc,val_top1,val_top5,lr
1,0.3807,0.4725,0.6643,0.000298
2,0.5572,0.5402,0.7157,0.000293
3,0.6023,0.5713,0.7352,0.000284
4,0.6222,0.5849,0.7427,0.000271
5,0.6366,0.5920,0.7464,0.000256
6,0.6465,0.5972,0.7497,0.000238
7,0.6545,0.6022,0.7523,0.000218
8,0.6607,0.6017,0.7537,0.000197
9,0.6678,0.6058,0.7538,0.000174
10,0.6730,0.6064,0.7539,0.000150
11,0.6790,0.6073,0.7541,0.000127
12,0.6826,0.6096,0.7551,0.000104
13,0.6862,0.6092,0.7557,0.000083
14,0.6892,0.6101,0.7563,0.000063
15,0.6914,0.6105,0.7553,0.000045
16,0.6948,0.6105,0.7565,0.000030
17,0.6962,0.6103,0.7559,0.000017
18,0.6968,0.6111,0.7559,0.000008
19,0.6978,0.6108,0.7556,0.000003
20,0.6988,0.6113,0.7560,0.000001
